Date,Open,High,Low,Close,Volume,Adj Close
2023-09-20,5.049,5.116,4.901,5.027,43632.79,5.027
2023-09-21,5.02,5.027,4.749,4.814,54585.81,4.814
2023-09-22,4.813,4.869,4.781,4.819,28869.3,4.819
2023-09-23,4.819,4.835,4.79,4.806,13285.0,4.806
2023-09-24,4.804,4.859,4.645,4.696,23013.8,4.696
2023-09-25,4.692,4.754,4.6,4.705,54702.09,4.705
2023-09-26,4.707,4.738,4.632,4.676,25931.83,4.676
2023-09-27,4.68,4.909,4.644,4.727,84057.09,4.727
2023-09-28,4.729,5.076,4.707,4.978,109473.91,4.978
2023-09-29,4.977,5.053,4.852,4.937,46952.62,4.937
2023-09-30,4.93,5.0,4.919,4.952,26692.51,4.952
2023-10-01,4.951,5.42,4.946,5.331,63229.75,5.331
2023-10-02,5.33,5.557,5.058,5.143,100823.8,5.143
2023-10-03,5.143,5.217,5.028,5.111,48467.85,5.111
2023-10-04,5.111,5.28,5.026,5.251,45637.77,5.251
2023-10-05,5.252,5.386,5.101,5.116,51747.79,5.116
2023-10-06,5.12,5.466,5.02,5.305,63019.93,5.305
2023-10-07,5.311,5.365,5.277,5.312,21426.87,5.312
2023-10-08,5.315,5.378,5.219,5.305,27741.92,5.305
2023-10-09,5.302,5.328,5.062,5.169,57669.11,5.169
2023-10-10,5.169,5.228,5.066,5.111,50736.56,5.111
2023-10-11,5.111,5.152,4.785,4.905,91771.4,4.905
2023-10-12,4.901,4.915,4.77,4.844,43209.67,4.844
2023-10-13,4.848,4.987,4.818,4.888,38321.53,4.888
2023-10-14,4.895,4.938,4.87,4.888,17730.23,4.888
2023-10-15,4.892,5.068,4.869,4.984,31085.15,4.984
2023-10-16,4.99,6.3,4.964,5.507,170103.89,5.507
2023-10-17,5.511,5.55,5.327,5.462,49221.37,5.462
2023-10-18,5.465,5.7,5.37,5.435,41305.75,5.435
2023-10-19,5.434,5.67,5.365,5.588,47939.59,5.588
2023-10-20,5.599,6.2,5.495,5.992,76243.05,5.992
2023-10-21,5.985,6.253,5.887,6.078,34538.45,6.078
2023-10-22,6.069,6.196,5.968,6.099,30473.3,6.099
2023-10-23,6.102,8.6,6.07,7.381,156645.26,7.381
2023-10-24,7.369,8.649,7.296,7.934,184382.27,7.934
2023-10-25,7.957,8.483,7.834,8.159,62350.47,8.159
2023-10-26,8.157,8.314,7.867,8.021,40332.05,8.021
2023-10-27,8.042,8.067,7.717,7.903,37306.91,7.903
2023-10-28,7.903,8.167,7.901,8.021,19448.0,8.021
2023-10-29,8.013,8.284,7.938,8.17,26574.91,8.17
2023-10-30,8.189,8.326,7.967,8.15,33366.02,8.15
2023-10-31,8.15,8.24,7.984,8.223,27217.3,8.223
2023-11-01,8.235,8.669,8.0,8.557,56558.25,8.557
2023-11-02,8.554,8.78,8.055,8.327,54348.76,8.327
2023-11-03,8.324,8.324,7.988,8.22,29416.81,8.22
2023-11-04,8.208,8.448,8.162,8.36,16563.18,8.36
2023-11-05,8.368,8.511,8.106,8.352,32109.18,8.352
2023-11-06,8.354,8.46,8.235,8.37,24270.26,8.37
2023-11-07,8.365,8.737,8.124,8.516,44842.81,8.516
2023-11-08,8.504,8.823,8.378,8.606,31420.03,8.606
2023-11-09,8.606,9.7,8.5,9.08,87446.99,9.08
2023-11-10,9.07,9.455,8.918,9.358,43507.92,9.358
2023-11-11,9.358,9.399,9.051,9.281,23016.64,9.281
2023-11-12,9.29,9.31,9.14,9.241,19771.42,9.241
2023-11-13,9.23,9.4,8.9,8.945,35277.19,8.945
2023-11-14,8.939,9.078,8.023,8.52,50292.71,8.52
2023-11-15,8.52,9.596,8.407,9.567,52399.02,9.567
2023-11-16,9.582,9.588,8.45,8.787,55862.09,8.787
2023-11-17,8.774,9.1,8.615,8.987,35338.93,8.987
2023-11-18,8.99,9.089,8.787,8.962,15872.96,8.962
2023-11-19,8.936,9.37,8.855,9.29,21451.73,9.29
2023-11-20,9.33,9.476,9.0,9.378,27116.05,9.378
2023-11-21,9.358,9.426,8.589,8.592,54678.78,8.592
2023-11-22,8.592,9.519,8.505,9.317,51157.44,9.317
2023-11-23,9.316,9.428,9.07,9.253,24550.47,9.253
2023-11-24,9.253,9.764,9.231,9.441,33353.43,9.441
2023-11-25,9.433,9.523,9.385,9.469,11423.35,9.469
2023-11-26,9.46,9.48,9.171,9.33,18455.67,9.33
2023-11-27,9.315,9.391,8.957,9.177,27706.04,9.177
2023-11-28,9.206,9.701,9.037,9.463,27487.41,9.463
2023-11-29,9.458,9.759,9.34,9.46,20741.88,9.46
2023-11-30,9.467,9.595,9.301,9.413,16150.74,9.413
2023-12-01,9.41,9.99,9.348,9.849,26923.44,9.849
2023-12-02,9.829,10.417,9.765,10.205,23064.96,10.205
2023-12-03,10.199,10.614,10.131,10.458,21737.34,10.458
2023-12-04,10.488,11.63,10.471,11.372,59285.19,11.372
2023-12-05,11.372,12.66,11.091,12.42,50717.61,12.42
2023-12-06,12.419,12.569,12.105,12.271,34810.7,12.271
2023-12-07,12.319,12.445,11.762,12.028,28305.56,12.028
2023-12-08,12.05,12.769,11.981,12.503,27801.76,12.503
2023-12-09,12.527,12.609,12.175,12.238,19616.08,12.238
2023-12-10,12.263,12.411,12.16,12.282,11191.02,12.282
2023-12-11,12.313,12.313,10.5,11.0,61765.08,11.0
2023-12-12,11.0,11.395,10.753,11.12,31314.57,11.12
2023-12-13,11.12,12.08,10.65,11.789,36798.4,11.789
2023-12-14,11.814,12.05,10.985,11.834,26673.9,11.834
2023-12-15,11.834,11.861,11.211,11.306,19100.01,11.306
2023-12-16,11.34,11.679,11.17,11.47,14124.32,11.47
2023-12-17,11.445,11.55,10.963,11.05,17926.54,11.05
2023-12-18,11.05,11.69,10.6,11.643,37489.01,11.643
2023-12-19,11.628,12.039,11.261,11.453,28902.74,11.453
2023-12-20,11.453,12.444,11.363,12.14,32036.86,12.14
2023-12-21,12.13,12.42,11.989,12.243,23381.84,12.243
2023-12-22,12.219,12.48,11.98,12.245,18582.95,12.245
2023-12-23,12.272,12.272,11.906,12.135,12264.55,12.135
2023-12-24,12.121,12.232,11.545,11.745,16222.61,11.745
2023-12-25,11.745,12.14,11.6,12.062,17204.22,12.062
2023-12-26,12.066,12.066,11.087,11.497,28325.72,11.497
2023-12-27,11.497,12.02,11.3,11.89,21824.61,11.89
2023-12-28,11.84,12.085,11.302,11.509,25245.25,11.509
2023-12-29,11.499,11.728,10.804,11.19,27942.15,11.19
2023-12-30,11.19,11.453,10.934,11.198,16185.44,11.198
2023-12-31,11.218,11.547,11.071,11.287,12168.54,11.287
